episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,31,8,1.0000,0.00005000,0.0000,0.0000,3.8555,0.0000,0.0000
2,34,9,0.9999,0.00005000,0.0000,0.0000,3.7576,0.0000,0.0000
3,41,11,0.9998,0.00005000,0.0000,0.0000,3.7080,0.0000,0.0000
4,49,11,0.9998,0.00005000,0.0000,20.3540,4.4359,0.0000,0.7344
5,41,11,0.9998,0.00005000,0.0000,21.3137,4.6166,0.0000,0.7074
6,39,11,0.9998,0.00005000,0.0000,19.6768,6.2533,0.0000,0.7472
7,95,14,0.9995,0.00004999,0.0000,21.2391,8.3447,0.0000,0.7232
8,61,14,0.9995,0.00004999,0.0000,20.2578,5.8857,0.0000,0.7299
9,35,18,0.9993,0.00004998,0.0000,17.9039,9.1510,0.0000,0.7517
10,35,19,0.9992,0.00004998,0.0000,15.4373,6.2279,0.0000,0.7681
11,31,8,0.9992,0.00004998,0.0000,17.0440,9.6896,0.0000,0.7227
12,40,12,0.9990,0.00004998,0.0000,13.5110,7.7409,0.0000,0.7891
13,62,21,0.9989,0.00004997,0.0000,13.2955,8.2204,0.0000,0.7872
14,56,11,0.9988,0.00004997,0.0000,14.8277,10.2805,0.0000,0.7443
15,67,15,0.9987,0.00004997,0.0000,14.5267,11.9168,0.0000,0.7521
16,33,8,0.9987,0.00004997,0.0000,12.8838,17.2338,0.0000,0.7812
17,33,8,0.9986,0.00004996,0.0000,13.2488,14.8867,0.0000,0.7734
18,72,28,0.9985,0.00004996,0.0000,13.9355,13.5469,0.0000,0.7679
19,172,17,0.9985,0.00004996,0.0000,13.3988,21.3328,0.0000,0.7849
20,43,11,0.9983,0.00004996,0.0000,14.0486,17.6501,0.0000,0.7614
21,78,34,0.9982,0.00004996,0.0000,13.7080,15.0013,0.0000,0.7895
22,40,36,0.9981,0.00004995,0.0000,12.5302,11.9112,0.0000,0.8151
23,35,8,0.9981,0.00004995,0.0000,13.5076,17.1985,0.0000,0.8086
24,37,11,0.9979,0.00004995,0.0000,12.7209,16.8704,0.0000,0.8295
25,52,18,0.9978,0.00004995,0.0000,12.5587,39.3313,0.0000,0.8056
26,36,8,0.9978,0.00004995,0.0000,15.5028,20.4859,0.0000,0.7461
27,53,11,0.9978,0.00004995,0.0000,12.8320,16.2615,0.0000,0.7955
28,61,14,0.9976,0.00004994,0.0000,13.7067,13.7246,0.0000,0.7790
29,36,33,0.9975,0.00004994,0.0000,12.8983,16.3324,0.0000,0.8068
30,76,21,0.9974,0.00004993,0.0000,12.4939,21.0752,0.0000,0.8065
31,41,43,0.9974,0.00004993,0.0000,12.7120,11.3888,0.0000,0.7980
32,56,10,0.9972,0.00004993,0.0000,10.8143,17.7514,0.0000,0.8406
33,30,8,0.9971,0.00004993,0.0000,13.1385,15.8729,0.0000,0.7812
34,49,11,0.9971,0.00004993,0.0000,11.8445,17.2672,0.0000,0.8097
35,38,17,0.9969,0.00004992,0.0000,16.2311,17.2150,0.0000,0.8382
36,63,12,0.9969,0.00004992,0.0000,14.8214,20.9404,0.0000,0.8359
37,71,17,0.9968,0.00004992,0.0000,14.7841,23.3840,0.0000,0.8180
38,41,33,0.9967,0.00004992,0.0000,15.3573,18.8417,0.0000,0.7803
39,39,45,0.9967,0.00004992,0.0000,13.7747,19.7909,0.0000,0.8014
40,37,10,0.9965,0.00004991,0.0000,14.4156,24.4445,0.0000,0.8000
41,41,21,0.9964,0.00004991,0.0000,14.5655,21.2405,0.0000,0.8065
42,29,18,0.9963,0.00004991,0.0000,13.0909,25.7976,0.0000,0.8281
43,43,11,0.9963,0.00004991,0.0000,11.4115,22.5574,0.0000,0.8438
44,216,17,0.9963,0.00004991,0.0000,13.5547,37.5677,0.0000,0.8107
45,86,14,0.9960,0.00004990,0.0000,12.5551,29.0178,0.0000,0.8438
46,44,11,0.9960,0.00004990,0.0000,12.3752,19.8595,0.0000,0.8466
47,34,71,0.9959,0.00004990,0.0000,12.8718,17.9906,0.0000,0.8385
48,84,52,0.9959,0.00004990,0.0000,12.5130,19.5627,0.0000,0.8504
49,42,11,0.9959,0.00004990,0.0000,13.2484,25.5091,0.0000,0.8636
50,31,35,0.9956,0.00004989,0.0000,13.0424,23.3796,0.0000,0.8366
51,34,8,0.9955,0.00004989,0.0000,11.7729,29.6568,0.0000,0.8867
52,41,24,0.9954,0.00004989,0.0000,13.4084,23.0350,0.0000,0.8359
53,45,10,0.9954,0.00004989,0.0000,12.9881,25.3721,0.0000,0.8500
54,29,40,0.9952,0.00004988,0.0000,12.8126,24.5155,0.0000,0.8469
55,45,11,0.9951,0.00004988,0.0000,13.2997,24.6270,0.0000,0.8636
56,60,11,0.9951,0.00004988,0.0000,14.8891,30.1461,0.0000,0.8153
57,45,68,0.9951,0.00004988,0.0000,15.5233,18.5022,0.0000,0.8410
58,61,14,0.9949,0.00004987,0.0000,16.8222,31.8489,0.0000,0.8259
59,135,20,0.9948,0.00004987,0.0000,15.3587,34.1687,0.0000,0.8375
60,24,26,0.9947,0.00004987,0.0000,13.8649,32.4525,0.0000,0.8654
61,42,10,0.9946,0.00004987,0.0000,15.3780,30.3171,0.0000,0.8469
62,25,57,0.9945,0.00004986,0.0000,15.3898,27.0992,0.0000,0.8454
63,58,22,0.9944,0.00004986,0.0000,15.2443,30.8830,0.0000,0.8480
64,37,21,0.9943,0.00004986,0.0000,15.4201,29.0482,0.0000,0.8423
65,108,14,0.9942,0.00004986,0.0000,14.5532,41.8948,0.0000,0.8594
66,46,21,0.9941,0.00004985,0.0000,15.0708,32.6941,0.0000,0.8512
67,55,21,0.9941,0.00004985,0.0000,15.1098,35.1876,0.0000,0.8586
68,35,29,0.9940,0.00004985,0.0000,14.4495,36.3113,0.0000,0.8578
69,106,29,0.9939,0.00004985,0.0000,16.1881,38.0570,0.0000,0.8459
70,83,14,0.9938,0.00004984,0.0000,13.5438,38.8714,0.0000,0.8884
71,66,14,0.9937,0.00004984,0.0000,14.6042,35.1924,0.0000,0.8638
72,85,13,0.9936,0.00004984,0.0000,17.2221,37.8430,0.0000,0.8149
73,47,13,0.9935,0.00004984,0.0000,13.2659,36.2245,0.0000,0.8870
74,39,9,0.9934,0.00004984,0.0000,12.8786,36.5172,0.0000,0.8819
75,45,17,0.9933,0.00004983,0.0000,16.2102,38.8411,0.0000,0.8438
76,60,14,0.9932,0.00004983,0.0000,14.1917,35.3072,0.0000,0.8549
77,92,16,0.9932,0.00004983,0.0000,14.2706,37.7436,0.0000,0.8594
78,56,58,0.9931,0.00004983,0.0000,16.4939,33.2252,0.0000,0.8459
79,72,84,0.9930,0.00004982,0.0000,16.8927,28.9177,0.0000,0.8545
80,69,13,0.9929,0.00004982,0.0000,18.8456,38.3138,0.0000,0.8317
81,127,39,0.9928,0.00004982,0.0000,16.8120,39.5833,0.0000,0.8518
82,50,8,0.9927,0.00004982,0.0000,15.5442,42.9231,0.0000,0.8711
83,172,23,0.9926,0.00004982,0.0000,15.5865,43.5516,0.0000,0.8560
84,111,27,0.9926,0.00004982,0.0000,16.0252,48.6587,0.0000,0.8646
85,56,20,0.9924,0.00004981,0.0000,16.8830,36.4063,0.0000,0.8656
86,40,12,0.9923,0.00004981,0.0000,18.2796,35.4147,0.0000,0.8385
87,119,29,0.9923,0.00004981,0.0000,17.1682,42.3051,0.0000,0.8459
88,79,17,0.9922,0.00004980,0.0000,15.3056,38.3902,0.0000,0.8805
89,56,50,0.9921,0.00004980,0.0000,16.4042,39.9191,0.0000,0.8694
90,83,13,0.9920,0.00004980,0.0000,15.7903,51.3631,0.0000,0.8822
91,28,8,0.9919,0.00004980,0.0000,16.1984,45.9618,0.0000,0.8789
92,39,11,0.9919,0.00004980,0.0000,14.0838,42.1662,0.0000,0.9034
93,38,10,0.9919,0.00004980,0.0000,15.3410,42.9938,0.0000,0.8781
94,38,53,0.9916,0.00004979,0.0000,16.9614,38.8064,0.0000,0.8520
95,43,12,0.9915,0.00004979,0.0000,18.4624,38.0821,0.0000,0.8281
96,51,20,0.9915,0.00004979,0.0000,16.2794,42.9032,0.0000,0.8656
97,83,34,0.9914,0.00004978,0.0000,16.2274,43.1095,0.0000,0.8649
98,32,8,0.9913,0.00004978,0.0000,19.6638,39.8778,0.0000,0.8398
99,62,13,0.9912,0.00004978,0.0000,15.4082,45.4526,0.0000,0.8726
100,55,24,0.9911,0.00004978,0.0000,15.8245,46.4142,0.0000,0.8880
